股票代码,分类,出现次数
600703.SH,半导体,50
600703.SH,半导体&nbsp;,1
600703.SH,MICROLED,1
600707.SH,北美算力,3
600726.SH,电力,5
600726.SH,算电协同,1
600744.SH,算电协同,1
600759.SH,化工,13
600759.SH,油气,1
600821.SH,算电协同,11
600839.SH,AI应用,2
600863.SH,电力,2
600869.SH,北美算力,6
600875.SH,电网设备,21
600875.SH,算电协同,1
600879.SH,商业航天,32
600884.SH,新能源,1
600887.SH,消费,1
600893.SH,商业航天,2
600893.SH,北美算力,1
600893.SH,军工,1
600895.SH,半导体,1
600900.SH,红利,19
600900.SH,传统老登红利,1
600900.SH,老登红利,1
600909.SH,券商,4
600916.SH,有色,2
600930.SH,算电协同,7
600938.SH,化工,15
600961.SH,有色,1
600977.SH,AI应用,1
600986.SH,AI应用,8
600988.SH,有色,16
600989.SH,化工,21
601012.SH,新能源,10
601012.SH,商业航天,6
601012.SH,AI应用,1
601016.SH,算电协同,9
601016.SH,电力,2
601069.SH,有色,1
601088.SH,ú,1
601088.SH,红利,1
601106.SH,可控核聚变,1
601127.SH,新能源,1
601127.SH,消费电子,1
601138.SH,北美算力,102
601168.SH,有色,6
601179.SH,电网设备,20
601179.SH,电力设备,2
601208.SH,北美算力,26
601211.SH,券商,1
601212.SH,有色,5
601231.SH,北美算力,3
601288.SH,红利,10
601288.SH,老登,1
601318.SH,红利,56
601318.SH,非银金融,4
601360.SH,AI应用,6
601390.SH,有色,2
601398.SH,红利,10
601398.SH,老登红利,1
601600.SH,有色,32
601600.SH,AI应用,1
601600.SH,有色&nbsp;,1
601606.SH,军工,1
601611.SH,AI应用,1
601611.SH,可控核聚变,1
601615.SH,新能源,1
601669.SH,算电协同,4
601669.SH,新能源,1
601678.SH,化工,2
601689.SH,机器人,9
601698.SH,商业航天,9
601727.SH,算电协同,2
601728.SH,运营商,2
601778.SH,AI应用,11
601778.SH,北美算力,3
601778.SH,新能源,1
601857.SH,化工,15
601868.SH,算电协同,13
601868.SH,电力,1
601869.SH,北美算力,88
601872.SH,油运,9
601872.SH,船运,6
601872.SH,化工,2
601872.SH,航运,1
601888.SH,消费,6
601899.SH,有色,99
601899.SH,AI应用,1
601899.SH,有色&nbsp;,1
601919.SH,红利,1
601933.SH,消费,1
601958.SH,有色,5
601975.SH,化工,3
601985.SH,核电,2
601988.SH,红利,1
601991.SH,电力,23
601991.SH,算电协同,9
603000.SH,AI应用,2
603005.SH,北美算力,8
603005.SH,半导体,4
603019.SH,半导体,55
603019.SH,半导体&nbsp;,1
603026.SH,新能源,1
603077.SH,化工,1
603083.SH,北美算力,65
603118.SH,北美算力,2
603127.SH,ҽҩ,3
603186.SH,北美算力,1
603228.SH,北美算力,11
603228.SH,半导体,4
603256.SH,北美算力,5
603256.SH,化工,3
603259.SH,ҽҩ,55
603259.SH,ҩ,8
603296.SH,北美算力,2
603296.SH,半导体,2
603296.SH,AIPC,1
603308.SH,北美算力,1
603459.SH,北美算力,2
603501.SH,半导体,10
603538.SH,ҽҩ,12
603588.SH,有色,1
603601.SH,商业航天,21
603601.SH,化工,1
603618.SH,北美算力,6
603618.SH,电网设备,1
603629.SH,AI应用,40
603629.SH,算力,10
603659.SH,新能源,3
603667.SH,机器人,5
603667.SH,AI应用,1
603678.SH,北美算力,1
603773.SH,北美算力,9
603778.SH,新能源,12
603799.SH,有色,41
603799.SH,AI应用,1
603799.SH,有色&nbsp;,1
603881.SH,AI应用,9
603890.SH,AIPC,1
603893.SH,半导体,17
603920.SH,北美算力,3
603920.SH,半导体,1
603938.SH,北美算力,1
603986.SH,半导体,88
603986.SH,半导体&nbsp;,1
603993.SH,有色,77
603993.SH,AI应用,1
603993.SH,有色&nbsp;,1
605117.SH,新能源,5
605358.SH,半导体,20
605589.SH,北美算力,4
688008.SH,半导体,88
688008.SH,半导体&nbsp;,1
688012.SH,半导体,71
688012.SH,半导体&nbsp;,1
688017.SH,机器人,30
688037.SH,半导体,1
688041.SH,半导体,88
688041.SH,半导体&nbsp;,1
688047.SH,半导体,2
688048.SH,北美算力,69
688072.SH,半导体,38
688072.SH,半导体&nbsp;,1
688099.SH,半导体,1
688110.SH,半导体,12
688111.SH,AI应用,6
688120.SH,半导体,22
688126.SH,半导体,36
688126.SH,北美算力,1
688146.SH,特种气体,26
688146.SH,气体,1
688146.SH,北美算力,1
688158.SH,AI应用,3
688167.SH,北美算力,3
688167.SH,半导体,1
688183.SH,北美算力,11
688195.SH,北美算力,6
688200.SH,半导体,1
688205.SH,北美算力,11
688223.SH,商业航天,4
688223.SH,新能源,2
688234.SH,半导体,2
688234.SH,北美算力,1
688249.SH,半导体,3
688256.SH,半导体,88
688256.SH,半导体&nbsp;,1
688270.SH,商业航天,7
688308.SH,数控刀具,1
688313.SH,北美算力,50
688322.SH,机器人,2
688322.SH,北美算力,1
688331.SH,ҽҩ,1
688347.SH,半导体,55
688347.SH,半导体&nbsp;,1
688361.SH,半导体,19
688362.SH,半导体,6
688387.SH,商业航天,2
688387.SH,AI应用,1
688387.SH,半导体&nbsp;,1
688403.SH,半导体,1
688432.SH,半导体,1
688498.SH,北美算力,84
688498.SH,半导体,1
688521.SH,半导体,79
688521.SH,半导体&nbsp;,1
688521.SH,商业航天,1
688525.SH,半导体,88
688525.SH,半导体&nbsp;,1
688549.SH,半导体,2
688568.SH,商业航天,1
688599.SH,商业航天,1
688627.SH,半导体,3
688629.SH,半导体,16
688629.SH,北美算力,11
688630.SH,半导体,1
688635.SH,北美算力,1
688702.SH,商业航天,10
688702.SH,北美算力,5
688729.SH,半导体,1
688766.SH,半导体,31
688766.SH,北美算力,1
688777.SH,AI应用,3
688795.SH,半导体,4
688797.SH,半导体,8
688802.SH,半导体,1
688808.SH,北美算力,13
688818.SH,商业航天,2
688820.SH,半导体,42
688825.SH,半导体,4
688981.SH,半导体,84
688981.SH,半导体&nbsp;,1
688981.SH,北美算力,1
